"filename", "language", "Markdown", "CMake", "YAML", "HTML", "C++", "JSON", "Dart", "Swift", "XML", "Properties", "comment", "blank", "total"
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\login\login_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 222, 0, 0, 0, 0, 5, 227
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\signup\signup_bindings.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\signup\signup_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 21, 109
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\signup\signup_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 269, 0, 0, 0, 0, 7, 276
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\date-range\date_range_bindings.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\date-range\date_range_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 3, 23
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\date-range\date_range_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 4, 3, 135
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\map\map_bindings.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\map\map_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 222, 0, 0, 0, 38, 43, 303
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\map\map_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 352, 0, 0, 0, 23, 21, 396
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\onboarding\onboarding_bindings.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\onboarding\onboarding_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 1, 10, 67
