"filename", "language", "YAML", "Dart", "JSON", "comment", "blank", "total"
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\create_service_controller.dart", "Dart", 0, -173, 0, 0, -25, -198
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\create_service_view.dart", "Dart", 0, -532, 0, 0, -8, -540
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\type\service_type_controller.dart", "Dart", 0, 7, 0, 0, -1, 6
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\type\service_type_view.dart", "Dart", 0, 9, 0, 0, 0, 9
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\update\update_service_binding.dart", "Dart", 0, 8, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\update\update_service_controller.dart", "Dart", 0, 171, 0, 3, 29, 203
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\update\update_service_view.dart", "Dart", 0, 557, 0, 0, 8, 565
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\general\create\create_general_controller.dart", "Dart", 0, -6, 0, 1, 0, -5
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\general\general_view.dart", "Dart", 0, 1, 0, 0, 0, 1
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\more_view.dart", "Dart", 0, -13, 0, 0, 0, -13
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\plan\plan_bindings.dart", "Dart", 0, 8, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\plan\plan_controller.dart", "Dart", 0, 16, 0, 0, 6, 22
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\plan\plan_view.dart", "Dart", 0, 355, 0, 0, 6, 361
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\vehicles\create\create_vehicles_controller.dart", "Dart", 0, 34, 0, 0, 9, 43
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\vehicles\create\create_vehicles_view.dart", "Dart", 0, 54, 0, 0, 1, 55
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\vehicles\update\update_vehicles_bindings.dart", "Dart", 0, 8, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\vehicles\update\update_vehicles_controller.dart", "Dart", 0, 130, 0, 0, 29, 159
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\vehicles\update\update_vehicles_view.dart", "Dart", 0, 647, 0, 6, 11, 664
